Item ID,Item Name,Category,Subcategory,Collection,Rarity,Source Type,Source Game,Visible Unlock Condition,Internal Unlock Condition,Token Price,Equivalent Token Value,Salvage %,Giftable,Unlimited Placement,Account-Earned Only,Secret,Footprint W,Footprint D,Height Band,Placement Surface,Room Types,Rotation,Style Tags,Animation / VFX,Audio / Ambience,Future Interaction,Collection Completion Set,3D Production Notes
win-in-arcade-lumber-stack-perfect-stack-shelf,Perfect Stack Shelf,Storage,Storage,Lumber Stack,Epic,Win in Arcade,James's Lumber Stack,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,James; Timber; Quiet; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Lumber Stack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-lumber-stack-quiet-cabin-cushion,Quiet Cabin Cushion,Decorations,Decorations,Lumber Stack,Uncommon,Win in Arcade,James's Lumber Stack,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,James; Timber; Quiet; Arcade Reward,None,None,Decorative,Lumber Stack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-lumber-stack-animated-timber-stack-sculpture,Animated Timber Stack Sculpture,Collectibles,Collectibles,Lumber Stack,Epic,Win in Arcade,James's Lumber Stack,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,James; Timber; Quiet; Arcade Reward,Animated loop,None,Inspect achievement / history,Lumber Stack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-lumber-stack-lumber-stack-tv-channel,Lumber Stack TV Channel,Electronics,Electronics,Lumber Stack,Rare,Win in Arcade,James's Lumber Stack,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,James; Timber; Quiet; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Lumber Stack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-lumber-stack-james-s-perfect-stack-trophy,James’s Perfect Stack Trophy,Collectibles,Collectibles,Lumber Stack,Family Legendary,Win in Arcade,James's Lumber Stack,Top mastery milestone / long-term achievement,Top mastery milestone / long-term achievement,,500,0.25,No,Yes,Yes,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,James; Timber; Quiet; Arcade Reward,Subtle rarity sparkle,None,Inspect to show unlock story / achievement date,Lumber Stack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-flower-merge-pennant,Flower Merge Pennant,Wall Decor,Wall Decor,Garden Merge,Uncommon,Win in Arcade,Dorothy's Garden Merge,First clear / first meaningful completion,First clear / first meaningful completion,,60,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,None,None,Inspect / memory card,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-petal-side-table,Petal Side Table,Tables,Tables,Garden Merge,Rare,Win in Arcade,Dorothy's Garden Merge,5 wins / 5 clears,5 wins / 5 clears,,100,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,None,None,Surface for small decor,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-bloom-lantern,Bloom Lantern,Lighting,Lighting,Garden Merge,Rare,Win in Arcade,Dorothy's Garden Merge,10 wins / 10 clears,10 wins / 10 clears,,120,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,None,None,Toggle / lighting preset,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-garden-bed-rug,Garden Bed Rug,Rugs,Rugs,Garden Merge,Epic,Win in Arcade,Dorothy's Garden Merge,Perfect score or designated high-skill objective,Perfect score or designated high-skill objective,,220,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,Subtle rarity sparkle,None,Decorative,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-seed-collection-shelf,Seed Collection Shelf,Storage,Storage,Garden Merge,Epic,Win in Arcade,Dorothy's Garden Merge,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-floral-cushion,Floral Cushion,Decorations,Decorations,Garden Merge,Uncommon,Win in Arcade,Dorothy's Garden Merge,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,None,None,Decorative,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-animated-blooming-planter,Animated Blooming Planter,Collectibles,Collectibles,Garden Merge,Epic,Win in Arcade,Dorothy's Garden Merge,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,Animated loop,None,Inspect achievement / history,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-garden-merge-tv-channel,Garden Merge TV Channel,Electronics,Electronics,Garden Merge,Rare,Win in Arcade,Dorothy's Garden Merge,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-garden-merge-dorothy-s-master-gardener-trophy,Dorothy’s Master Gardener Trophy,Collectibles,Collectibles,Garden Merge,Family Legendary,Win in Arcade,Dorothy's Garden Merge,Top mastery milestone / long-term achievement,Top mastery milestone / long-term achievement,,500,0.25,No,Yes,Yes,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Dorothy; Flowers; Cottage; Arcade Reward,Subtle rarity sparkle,None,Inspect to show unlock story / achievement date,Garden Merge,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-dirt-bike-pennant,Dirt Bike Pennant,Wall Decor,Wall Decor,Trail Logic,Uncommon,Win in Arcade,Logan's Trail Logic,First clear / first meaningful completion,First clear / first meaningful completion,,60,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,None,None,Inspect / memory card,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-trail-marker-side-table,Trail Marker Side Table,Tables,Tables,Trail Logic,Rare,Win in Arcade,Logan's Trail Logic,5 wins / 5 clears,5 wins / 5 clears,,100,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,None,None,Surface for small decor,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-headlight-lamp,Headlight Lamp,Lighting,Lighting,Trail Logic,Rare,Win in Arcade,Logan's Trail Logic,10 wins / 10 clears,10 wins / 10 clears,,120,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,None,None,Toggle / lighting preset,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-switchback-trail-rug,Switchback Trail Rug,Rugs,Rugs,Trail Logic,Epic,Win in Arcade,Logan's Trail Logic,Perfect score or designated high-skill objective,Perfect score or designated high-skill objective,,220,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,Subtle rarity sparkle,None,Decorative,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-helmet-display-shelf,Helmet Display Shelf,Storage,Storage,Trail Logic,Epic,Win in Arcade,Logan's Trail Logic,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-mud-splatter-cushion,Mud-Splatter Cushion,Decorations,Decorations,Trail Logic,Uncommon,Win in Arcade,Logan's Trail Logic,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,None,None,Decorative,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-animated-dirt-bike-model,Animated Dirt Bike Model,Collectibles,Collectibles,Trail Logic,Epic,Win in Arcade,Logan's Trail Logic,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,Animated loop,None,Inspect achievement / history,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-trail-logic-tv-channel,Trail Logic TV Channel,Electronics,Electronics,Trail Logic,Rare,Win in Arcade,Logan's Trail Logic,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-trail-logic-logan-s-trail-master-trophy,Logan’s Trail Master Trophy,Collectibles,Collectibles,Trail Logic,Family Legendary,Win in Arcade,Logan's Trail Logic,Top mastery milestone / long-term achievement,Top mastery milestone / long-term achievement,,500,0.25,No,Yes,Yes,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Logan; Dirt Bike; Trail; Arcade Reward,Subtle rarity sparkle,None,Inspect to show unlock story / achievement date,Trail Logic,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-nana-says-no-pennant,Nana Says No Pennant,Wall Decor,Wall Decor,Goat Whack,Uncommon,Win in Arcade,Nana's Goat Whack,First clear / first meaningful completion,First clear / first meaningful completion,,60,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,None,None,Inspect / memory card,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-feed-pail-side-table,Feed Pail Side Table,Tables,Tables,Goat Whack,Rare,Win in Arcade,Nana's Goat Whack,5 wins / 5 clears,5 wins / 5 clears,,100,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,None,None,Surface for small decor,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-barnyard-lamp,Barnyard Lamp,Lighting,Lighting,Goat Whack,Rare,Win in Arcade,Nana's Goat Whack,10 wins / 10 clears,10 wins / 10 clears,,120,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,None,None,Toggle / lighting preset,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-animal-score-rug,Animal Score Rug,Rugs,Rugs,Goat Whack,Epic,Win in Arcade,Nana's Goat Whack,Perfect score or designated high-skill objective,Perfect score or designated high-skill objective,,220,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,Subtle rarity sparkle,None,Decorative,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-farm-guide-shelf,Farm Guide Shelf,Storage,Storage,Goat Whack,Epic,Win in Arcade,Nana's Goat Whack,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-chicken-print-cushion,Chicken-Print Cushion,Decorations,Decorations,Goat Whack,Uncommon,Win in Arcade,Nana's Goat Whack,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,None,None,Decorative,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-animated-barnyard-target-toy,Animated Barnyard Target Toy,Collectibles,Collectibles,Goat Whack,Epic,Win in Arcade,Nana's Goat Whack,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,Animated loop,None,Inspect achievement / history,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-goat-whack-tv-channel,Goat Whack TV Channel,Electronics,Electronics,Goat Whack,Rare,Win in Arcade,Nana's Goat Whack,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-goat-whack-nana-s-barn-boss-trophy,Nana’s Barn Boss Trophy,Collectibles,Collectibles,Goat Whack,Family Legendary,Win in Arcade,Nana's Goat Whack,Top mastery milestone / long-term achievement,Top mastery milestone / long-term achievement,,500,0.25,No,Yes,Yes,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Nana; Farm; Animals; Arcade Reward,Subtle rarity sparkle,None,Inspect to show unlock story / achievement date,Goat Whack,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-cozy-toy-pennant,Cozy Toy Pennant,Wall Decor,Wall Decor,Memory Mayhem,Uncommon,Win in Arcade,Holly's Memory Mayhem,First clear / first meaningful completion,First clear / first meaningful completion,,60,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,None,None,Inspect / memory card,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-cloud-toy-table,Cloud Toy Table,Tables,Tables,Memory Mayhem,Rare,Win in Arcade,Holly's Memory Mayhem,5 wins / 5 clears,5 wins / 5 clears,,100,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,None,None,Surface for small decor,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-star-memory-lamp,Star Memory Lamp,Lighting,Lighting,Memory Mayhem,Rare,Win in Arcade,Holly's Memory Mayhem,10 wins / 10 clears,10 wins / 10 clears,,120,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,None,None,Toggle / lighting preset,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-match-pair-rug,Match-Pair Rug,Rugs,Rugs,Memory Mayhem,Epic,Win in Arcade,Holly's Memory Mayhem,Perfect score or designated high-skill objective,Perfect score or designated high-skill objective,,220,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,Subtle rarity sparkle,None,Decorative,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-collectible-toy-shelf,Collectible Toy Shelf,Storage,Storage,Memory Mayhem,Epic,Win in Arcade,Holly's Memory Mayhem,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-heart-hoodie-cushion,Heart Hoodie Cushion,Decorations,Decorations,Memory Mayhem,Uncommon,Win in Arcade,Holly's Memory Mayhem,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,None,None,Decorative,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-animated-matching-toy-box,Animated Matching Toy Box,Collectibles,Collectibles,Memory Mayhem,Epic,Win in Arcade,Holly's Memory Mayhem,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,Animated loop,None,Inspect achievement / history,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-memory-mayhem-tv-channel,Memory Mayhem TV Channel,Electronics,Electronics,Memory Mayhem,Rare,Win in Arcade,Holly's Memory Mayhem,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-memory-mayhem-holly-s-memory-star-trophy,Holly’s Memory Star Trophy,Collectibles,Collectibles,Memory Mayhem,Family Legendary,Win in Arcade,Holly's Memory Mayhem,Top mastery milestone / long-term achievement,Top mastery milestone / long-term achievement,,500,0.25,No,Yes,Yes,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Holly; Cute; Toys; Arcade Reward,Subtle rarity sparkle,None,Inspect to show unlock story / achievement date,Memory Mayhem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-stage-cue-pennant,Stage Cue Pennant,Wall Decor,Wall Decor,Dramatic Lights,Uncommon,Win in Arcade,Lizzie's Dramatic Lights,First clear / first meaningful completion,First clear / first meaningful completion,,60,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,None,None,Inspect / memory card,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-dancer-side-table,Dancer Side Table,Tables,Tables,Dramatic Lights,Rare,Win in Arcade,Lizzie's Dramatic Lights,5 wins / 5 clears,5 wins / 5 clears,,100,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,None,None,Surface for small decor,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-sequence-spotlight,Sequence Spotlight,Lighting,Lighting,Dramatic Lights,Rare,Win in Arcade,Lizzie's Dramatic Lights,10 wins / 10 clears,10 wins / 10 clears,,120,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,None,None,Toggle / lighting preset,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-dance-floor-rug,Dance Floor Rug,Rugs,Rugs,Dramatic Lights,Epic,Win in Arcade,Lizzie's Dramatic Lights,Perfect score or designated high-skill objective,Perfect score or designated high-skill objective,,220,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,Subtle rarity sparkle,None,Decorative,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-ballet-display-shelf,Ballet Display Shelf,Storage,Storage,Dramatic Lights,Epic,Win in Arcade,Lizzie's Dramatic Lights,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-drama-star-cushion,Drama Star Cushion,Decorations,Decorations,Dramatic Lights,Uncommon,Win in Arcade,Lizzie's Dramatic Lights,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,None,None,Decorative,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-animated-stage-light-bar,Animated Stage Light Bar,Collectibles,Collectibles,Dramatic Lights,Epic,Win in Arcade,Lizzie's Dramatic Lights,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,Animated loop,None,Inspect achievement / history,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-dramatic-lights-tv-channel,Dramatic Lights TV Channel,Electronics,Electronics,Dramatic Lights,Rare,Win in Arcade,Lizzie's Dramatic Lights,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-dramatic-lights-lizzie-s-spotlight-trophy,Lizzie’s Spotlight Trophy,Collectibles,Collectibles,Dramatic Lights,Family Legendary,Win in Arcade,Lizzie's Dramatic Lights,Top mastery milestone / long-term achievement,Top mastery milestone / long-term achievement,,500,0.25,No,Yes,Yes,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Lizzie; Dance; Stage; Arcade Reward,Subtle rarity sparkle,None,Inspect to show unlock story / achievement date,Dramatic Lights,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-pink-gmc-pennant,Pink GMC Pennant,Wall Decor,Wall Decor,Pipe Problem,Uncommon,Win in Arcade,Vanessa's Pipe Problem,First clear / first meaningful completion,First clear / first meaningful completion,,60,0.25,Yes,Yes,No,No,1,0,Flat,Wall,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,None,None,Inspect / memory card,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-pipe-coupler-side-table,Pipe Coupler Side Table,Tables,Tables,Pipe Problem,Rare,Win in Arcade,Vanessa's Pipe Problem,5 wins / 5 clears,5 wins / 5 clears,,100,0.25,Yes,Yes,No,No,2,1,Medium,Floor,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,None,None,Surface for small decor,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-worksite-beacon-lamp,Worksite Beacon Lamp,Lighting,Lighting,Pipe Problem,Rare,Win in Arcade,Vanessa's Pipe Problem,10 wins / 10 clears,10 wins / 10 clears,,120,0.25,Yes,Yes,No,No,1,1,Medium,Floor/Wall/Ceiling,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,None,None,Toggle / lighting preset,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-wash-bay-rug,Wash Bay Rug,Rugs,Rugs,Pipe Problem,Epic,Win in Arcade,Vanessa's Pipe Problem,Perfect score or designated high-skill objective,Perfect score or designated high-skill objective,,220,0.25,Yes,Yes,No,No,2,2,Flat,Floor,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,Subtle rarity sparkle,None,Decorative,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-chrome-pipe-display-shelf,Chrome Pipe Display Shelf,Storage,Storage,Pipe Problem,Epic,Win in Arcade,Vanessa's Pipe Problem,Hard-mode / difficult-level milestone,Hard-mode / difficult-level milestone,,240,0.25,Yes,Yes,No,No,2,1,Tall,Floor/Wall,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,Subtle rarity sparkle,None,Open/inspect later,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-grey-truck-cushion,Grey Truck Cushion,Decorations,Decorations,Pipe Problem,Uncommon,Win in Arcade,Vanessa's Pipe Problem,Complete the game-specific daily challenge,Complete the game-specific daily challenge,,70,0.25,Yes,Yes,No,No,1,1,Small,Floor/Table/Wall,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,None,None,Decorative,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-animated-wash-line-model,Animated Wash-Line Model,Collectibles,Collectibles,Pipe Problem,Epic,Win in Arcade,Vanessa's Pipe Problem,Mastery milestone / advanced level,Mastery milestone / advanced level,,260,0.25,Yes,Yes,No,No,1,1,Small,Table/Shelf/Wall,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,Animated loop,None,Inspect achievement / history,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
win-in-arcade-pipe-problem-pipe-problem-tv-channel,Pipe Problem TV Channel,Electronics,Electronics,Pipe Problem,Rare,Win in Arcade,Vanessa's Pipe Problem,Unlock the game-specific media channel,Unlock the game-specific media channel,,140,0.25,Yes,Yes,No,No,2,1,Medium,Floor/Wall,Bedroom; Common Space,90° steps,Vanessa; GMC; Worksite; Arcade Reward,Looping themed game footage/screensaver,Muted by default; optional themed channel audio,Select as an unlocked TV channel,Pipe Problem,Reward-track item. Reuse game visual motifs without copying external branded assets.
